,name,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg
3981,Tallison Teixeira,9,1,0,"6' 7""",258 lbs.,"83""",Orthodox,"Dec 07, 1999",5.02,64%,3.86,42%,2.48,30%,0%,0.0
3982,Tra Telligman,7,5,1,"6' 2""",233 lbs.,--,Orthodox,"Feb 07, 1965",1.83,35%,3.02,56%,0.87,100%,80%,0.0
3983,Ramazan Temirov,19,3,0,"5' 4""",125 lbs.,"63""",Orthodox,"Jan 31, 1997",4.37,40%,3.93,59%,0.84,50%,100%,0.0
3984,Taneisha Tennant,5,1,0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1989",5.67,55%,3.40,71%,0.00,0%,100%,0.0
3985,Herman Terrado,15,3,1,--,170 lbs.,--,,"Sep 27, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
3986,Dave Terrel,7,7,0,"5' 8""",170 lbs.,--,Southpaw,"May 10, 1978",2.62,43%,2.80,48%,3.28,38%,100%,0.0
3987,David Terrell,6,2,0,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5
3988,James Terry,19,9,0,"5' 10""",170 lbs.,--,Orthodox,"Mar 16, 1981",3.23,32%,4.77,64%,3.31,36%,75%,0.0
3989,Jeff Terry,2,3,0,"6' 2""",205 lbs.,--,,--,1.09,50%,9.27,19%,0.00,0%,100%,0.0
3990,David Teymur,8,2,0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",4.69,43%,3.53,55%,0.94,33%,77%,0.0
3991,Daniel Teymur,7,4,0,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",3.08,46%,3.93,56%,0.56,18%,60%,0.3
3992,Motonobu Tezuka,28,12,7,"5' 7""",135 lbs.,--,Southpaw,"Aug 29, 1987",0.87,23%,2.80,51%,1.50,11%,0%,0.5
3993,Jason Thacker,0,1,0,"5' 10""",185 lbs.,--,Orthodox,"Aug 18, 1975",0.63,33%,17.05,32%,0.00,0%,0%,0.0
3994,Alexia Thainara,13,1,0,"5' 4""",115 lbs.,"67""",Orthodox,"Nov 20, 1995",4.52,40%,2.46,65%,3.91,60%,100%,1.7
3995,Brandon Thatch,11,5,0,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",2.70,42%,3.63,52%,1.36,66%,50%,0.7
3996,Elias Theodorou,16,3,0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0
3997,Nik Theotikos,6,2,0,--,185 lbs.,--,Orthodox,--,0.00,0%,5.48,19%,0.00,0%,0%,4.8
3998,Paulo Thiago,18,9,0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",1.71,39%,1.99,63%,1.42,31%,63%,1.2
3999,Colby Thicknesse,8,1,0,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 23, 1999",3.33,42%,2.80,50%,1.00,9%,50%,0.5
4000,Din Thomas,26,9,0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 28, 1976",1.85,37%,2.60,59%,1.38,52%,76%,1.2
4001,Ryan Thomas,20,8,0,"6' 0""",170 lbs.,--,Orthodox,"Nov 05, 1984",2.01,36%,4.17,30%,5.59,33%,0%,2.2
4002,Noah Thomas,14,7,0,"5' 9""",135 lbs.,--,Orthodox,"Mar 27, 1981",0.44,13%,4.99,33%,0.00,0%,0%,1.3
4003,Joel Thomas,5,2,0,"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4004,Treston Thomison,10,6,0,"5' 8""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4005,Nick Thompson,38,14,1,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1981",1.87,42%,1.80,49%,1.06,100%,35%,2.6
4006,James Thompson,20,16,0 (1 NC),"6' 5""",265 lbs.,--,Orthodox,"Dec 16, 1978",5.13,52%,3.19,41%,3.14,36%,53%,1.3
4007,Oli Thompson,17,10,0,"6' 1""",242 lbs.,"75""",Orthodox,"Jan 02, 1980",1.66,46%,5.31,46%,0.00,0%,50%,0.5
4008,Stephen Thompson,17,9,1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",4.05,46%,3.00,54%,0.23,35%,63%,0.0
4009,Josh Thomson,22,9,0 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3
4010,Isaac Thomson,9,3,0,"5' 10""",145 lbs.,"69""",,"May 03, 2002",1.40,44%,2.20,42%,4.00,80%,33%,0.0
4011,Simeon Thoresen,17,6,1,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984",3.85,43%,3.85,64%,1.12,40%,50%,1.7
4012,Josh Thornburg,8,8,0,"6' 0""",170 lbs.,--,,"May 24, 1984",1.20,50%,3.13,38%,2.00,66%,42%,2.0
4013,Ti Haitao,16,6,0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4014,Gleison Tibau,33,14,0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",1.95,31%,2.51,63%,4.08,53%,92%,0.8
4015,Chris Tickle,9,9,0,"5' 9""",155 lbs.,--,,"Feb 01, 1982",1.07,40%,1.13,43%,1.00,25%,20%,2.0
4016,Nolan Ticman,4,3,0,"5' 6""",125 lbs.,--,Orthodox,"May 17, 1988",2.57,47%,2.53,67%,0.00,0%,60%,0.0
4017,Darren Till,18,5,1,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.30,46%,3.31,56%,0.55,46%,69%,0.0
4018,Brett Tillis,0,0,0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4019,Rio Tirto,8,1,0,"5' 4""",125 lbs.,"66""",Switch,"Feb 09, 2000",0.00,0%,2.11,69%,0.00,0%,0%,0.0
4020,Denis Tiuliulin,10,10,0 (1 NC),"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988",3.61,41%,5.23,38%,0.96,42%,72%,0.0
4021,Ryan Tobar,3,3,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4022,Rafael Tobias,14,1,0,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 20, 2003",3.45,30%,3.98,40%,3.98,100%,0%,4.0
4023,Andrew Todhunter,8,0,0,"6' 0""",185 lbs.,--,Switch,"Nov 30, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4024,Dusko Todorovic,13,6,0,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",4.73,57%,4.40,48%,1.77,21%,42%,0.3
4025,Tuco Tokkos,11,5,0,"6' 4""",205 lbs.,"76""",Orthodox,"Jun 30, 1990",2.12,40%,4.27,46%,4.21,47%,33%,0.5
4026,Hideo Tokoro,34,29,2,"5' 7""",135 lbs.,--,Orthodox,"Aug 22, 1977",1.78,37%,2.01,65%,0.87,34%,44%,2.3
4027,Anatoly Tokov,25,2,0,"5' 10""",185 lbs.,--,,"Feb 17, 1990",3.51,72%,0.54,66%,2.03,100%,100%,0.0
4028,Kazuki Tokudome,18,7,1,"5' 11""",155 lbs.,"73""",Southpaw,"Mar 04, 1987",2.26,41%,3.63,53%,2.00,38%,78%,0.0
4029,Puja Tomar,9,5,0,"5' 4""",115 lbs.,"59""",Southpaw,"Dec 05, 1993",5.61,48%,5.82,46%,0.00,0%,100%,0.0
4030,Tyler Toner,15,7,0 (1 NC),"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",2.95,52%,2.13,62%,0.00,0%,54%,0.4
4031,James Toney,0,1,0,"5' 9""",220 lbs.,--,Orthodox,"Aug 24, 1968",0.00,0%,2.41,27%,0.00,0%,0%,0.0
4032,Masanori Tonooka,1,2,0,"5' 8""",185 lbs.,--,Orthodox,"May 25, 1973",0.16,5%,1.09,36%,0.00,0%,0%,0.0
4033,Carl Toomey,3,3,0,--,--,--,,"Mar 15, 1972",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4034,Ilia Topuria,17,0,0,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 21, 1997",4.81,48%,3.83,64%,1.96,61%,93%,1.1
4035,Aleksandre Topuria,7,1,0,"5' 7""",135 lbs.,"68""",Orthodox,"Jan 28, 1996",2.93,55%,2.57,68%,1.50,33%,100%,0.0
4036,Anthony Torres,5,3,0,"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978",3.54,48%,7.52,45%,0.00,0%,100%,2.2
4037,Miguel Torres,44,9,0,"5' 9""",135 lbs.,"76""",Orthodox,"Jan 18, 1981",3.98,43%,1.86,74%,0.00,0%,17%,1.6
4038,Ronys Torres,35,5,0,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,4.00,47%,16%,0.5
4039,Haven Torres,0,0,0,--,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4040,Alex Torres,5,4,0,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988",2.47,37%,2.73,69%,2.00,22%,50%,0.0
4041,Abram Torres,4,3,0,"5' 10""",170 lbs.,--,,"Oct 29, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4042,Jose Torres,8,1,0,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992",4.37,36%,9.84,50%,1.28,33%,75%,0.0
4043,Desmond Torres,7,2,0,"5' 6""",135 lbs.,"69""",Orthodox,"Jan 06, 1997",4.80,64%,11.78,48%,0.00,0%,100%,0.0
4044,Manuel Torres,17,3,0,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995",7.29,59%,4.08,54%,1.72,66%,90%,0.9
4045,Justice Torres,12,4,0,"5' 7""",145 lbs.,"66""",Southpaw,"Oct 19, 1997",0.79,22%,8.29,53%,5.92,50%,0%,0.0
4046,Eduardo Torres Caut,16,2,0,"5' 7""",135 lbs.,"70""",Orthodox,"Apr 26, 1995",1.10,34%,1.24,65%,2.06,33%,50%,0.0
4047,Salim Touahri,10,4,0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.60,46%,2.87,58%,0.00,0%,83%,0.0
4048,Dequan Townsend,21,12,0,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",1.23,34%,3.92,38%,0.00,0%,46%,0.0
4049,Minoru Toyonaga,2,5,0,"5' 11""",195 lbs.,--,Southpaw,"Jun 12, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4050,Slim Trabelsi,5,0,0,"6' 3""",235 lbs.,--,,"May 09, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4051,Roberto Traven,6,4,1,"6' 3""",227 lbs.,--,Orthodox,"Sep 16, 1968",0.92,50%,2.77,57%,0.00,0%,0%,0.0
4052,Bryan Travers,15,4,0,--,155 lbs.,--,,"Apr 11, 1983",2.33,48%,3.93,55%,2.00,28%,63%,0.0
4053,Alexander Trevino,7,7,0,--,170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4054,Francisco Trevino,13,3,0,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981",2.65,42%,2.42,64%,0.97,22%,41%,0.0
4055,Angelo Trevino,7,3,0,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993",5.19,54%,3.90,47%,0.00,0%,100%,0.0
4056,Frank Trigg,21,9,0,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.90,56%,2.35,47%,75%,0.8
4057,Francisco Trinaldo,28,9,0,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",3.13,45%,2.67,60%,0.98,42%,60%,0.5
4058,Damien Trites,7,6,0,"5' 11""",165 lbs.,--,,"Aug 23, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4059,Michael Trizano,11,3,0,"5' 11""",145 lbs.,"71""",Orthodox,"Dec 31, 1991",3.63,53%,4.40,50%,0.36,66%,72%,0.5
4060,Antonio Trocoli,12,6,0 (1 NC),"6' 5""",185 lbs.,"80""",Orthodox,"Dec 06, 1990",1.37,50%,5.55,24%,0.79,10%,33%,0.8
4061,Tor Troeng,16,7,1,"6' 2""",185 lbs.,--,Orthodox,"Jan 25, 1983",1.16,46%,3.26,32%,0.62,7%,66%,0.3
4062,Aaron Trujillo,0,1,0,"5' 5""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4063,Reynaldo Trujillo,21,19,0,"5' 9""",155 lbs.,--,,"Jan 01, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4064,Abel Trujillo,15,8,0 (1 NC),"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2.65,41%,2.31,59%,2.18,45%,40%,0.4
4065,Arman Tsarukyan,23,3,0,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.85,50%,1.80,54%,3.26,37%,75%,0.1
4066,Rei Tsuruya,10,1,0,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 2002",2.24,52%,2.01,42%,5.06,37%,50%,1.9
4067,Chris Tuchscherer,21,4,0 (1 NC),"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",1.35,31%,3.17,47%,1.19,18%,0%,0.6
4068,Jon Tuck,10,5,0,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",3.00,40%,3.74,60%,0.42,33%,50%,1.0
4069,Gavin Tucker,13,3,0,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.29,44%,4.18,57%,3.13,44%,53%,1.5
4070,Jumabieke Tuerxun,19,4,1,"5' 7""",135 lbs.,--,Orthodox,"Apr 17, 1986",1.60,28%,3.08,59%,0.47,11%,66%,0.9
4071,Tom Tuggle,0,3,0,"6' 2""",250 lbs.,--,Orthodox,--,0.00,0%,2.14,0%,32.14,100%,0%,0.0
4072,Blair Tugman,10,6,0,"6' 0""",135 lbs.,--,,--,2.25,53%,0.93,50%,7.50,60%,0%,0.0
4073,Tai Tuivasa,15,9,0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",3.66,48%,4.97,43%,0.00,0%,60%,0.0
4074,Zubaira Tukhugov,20,6,1,"5' 8""",155 lbs.,"68""",Orthodox,"Jan 15, 1991",3.17,39%,3.07,63%,2.13,39%,100%,0.0
4075,Teila Tuli,0,1,0,"6' 0""",430 lbs.,--,Orthodox,"Jun 14, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4076,Marco Tulio,14,2,0,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",6.69,58%,2.58,59%,1.42,26%,0%,0.3
4077,Nyamjargal Tumendemberel,9,1,0,"5' 7""",125 lbs.,"71""",Orthodox,"Mar 22, 1998",3.18,39%,3.33,52%,3.10,38%,54%,2.6
4078,Albert Tumenov,18,4,0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",3.76,42%,3.34,58%,0.20,20%,75%,0.0
4079,Ricky Turcios,13,5,0,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993",4.73,40%,3.72,52%,0.91,20%,44%,0.4
4080,Anton Turkalj,8,4,0,"6' 4""",205 lbs.,"78""",Orthodox,"Jun 10, 1996",2.45,42%,3.42,54%,4.98,41%,16%,0.0
4081,Wellington Turman,18,8,0,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 22, 1996",3.23,51%,4.17,45%,1.55,20%,42%,0.8
4082,Courtney Turner,0,3,0,"6' 2""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4083,Jalin Turner,15,9,0,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",5.79,48%,4.54,41%,0.75,55%,75%,1.1
4084,Austin Tweedy,8,2,0,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1990",4.29,66%,6.43,0%,0.00,0%,0%,0.0
4085,Marcin Tybura,27,10,0,"6' 3""",246 lbs.,"78""",Orthodox,"Nov 09, 1985",3.59,48%,3.33,55%,1.38,33%,75%,0.1
4086,Raphael Uchegbu,10,2,0,"5' 9""",135 lbs.,"73""",Orthodox,"Aug 16, 1995",2.46,48%,2.85,50%,1.48,16%,0%,0.0
4087,Takeru Uchida,6,1,0,"5' 5""",125 lbs.,"68""",Southpaw,"Sep 30, 2002",0.00,0%,0.00,0%,0.00,0%,0%,4.4
4088,Alberto Uda,12,2,0,"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984",1.79,52%,3.49,45%,2.83,50%,66%,0.0
4089,Ryuki Ueyama,12,18,5 (1 NC),"5' 11""",180 lbs.,--,Southpaw,"Apr 17, 1976",0.13,21%,1.40,46%,0.50,100%,0%,1.5
4090,Christian Uflacker,5,0,0,"5' 11""",170 lbs.,--,,"Aug 04, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4091,Andy Uhrich,11,6,0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4092,Tagir Ulanbekov,17,3,0,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",3.01,48%,3.44,50%,2.73,39%,63%,1.5
4093,Carlos Ulberg,14,1,0,"6' 4""",205 lbs.,"77""",Orthodox,"Nov 07, 1990",6.54,55%,4.04,51%,0.55,60%,85%,0.2
4094,Gasan Umalatov,17,4,2,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982",2.23,39%,4.10,59%,0.75,17%,90%,0.0
4095,Jeremy Umphries,5,2,0,--,160 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4096,Zach Underwood,13,7,0,"6' 2""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4097,Caol Uno,33,19,5,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",1.91,49%,1.90,50%,1.95,31%,37%,0.5
4098,Kengo Ura,14,12,2,"5' 9""",165 lbs.,--,,"Jun 20, 1981",1.05,37%,2.38,48%,2.85,28%,50%,1.4
4099,Logan Urban,5,1,0 (1 NC),"6' 0""",170 lbs.,"72""",Orthodox,"Apr 22, 1994",2.55,66%,16.60,27%,0.00,0%,0%,0.0
4100,Hector Urbina,17,10,1,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987",0.97,38%,2.44,39%,0.00,0%,38%,3.8
4101,Elias Urbina,3,1,0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993",3.85,37%,6.17,50%,0.00,0%,0%,0.0
4102,Gilbert Urbina,7,5,0,"6' 3""",170 lbs.,"75""",Orthodox,"Apr 05, 1996",5.57,56%,4.62,44%,2.86,44%,0%,0.7
4103,Guilherme Uriel,6,2,0,"6' 1""",265 lbs.,"74""",Orthodox,"Feb 18, 1997",1.15,43%,4.43,22%,0.00,0%,53%,0.0
4104,Nick Urso,10,3,0 (1 NC),"5' 6""",125 lbs.,"66""",Southpaw,"Sep 26, 1985",3.61,45%,5.06,36%,0.00,0%,0%,0.0
4105,Yasuhiro Urushitani,21,8,6,"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976",3.47,39%,4.71,65%,0.00,0%,80%,0.0
4106,Sho Patrick Usami,4,1,0,"5' 9""",155 lbs.,"70""",Orthodox,"May 08, 2000",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4107,Kamaru Usman,21,4,0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.16,51%,2.67,55%,2.79,44%,89%,0.1
4108,Mohammed Usman,12,4,0,"6' 2""",239 lbs.,"79""",Orthodox,"Apr 01, 1989",3.85,39%,4.27,51%,0.56,14%,66%,0.0
4109,Darren Uyenoyama,10,6,0,"5' 6""",125 lbs.,"65""",Orthodox,"Oct 15, 1979",1.34,39%,2.21,66%,1.42,33%,35%,0.7
4110,Richie Vaculik,10,4,0,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983",3.69,46%,4.09,57%,3.00,45%,31%,1.0
4111,Rashid Vagabov,14,2,0,"5' 7""",125 lbs.,"63""",Orthodox,"Jun 27, 1998",1.87,38%,0.93,67%,3.00,50%,100%,3.0
4112,Artem Vakhitov,3,1,0,"6' 1""",205 lbs.,"75""",Orthodox,"Apr 04, 1991",3.88,85%,0.68,80%,0.00,0%,100%,0.0
4113,Egidijus Valavicius,29,12,0,"6' 0""",200 lbs.,--,Orthodox,"Dec 23, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4114,Genaro Valdez,10,3,0,"5' 9""",155 lbs.,"72""",Orthodox,"Jan 16, 1992",4.08,30%,7.16,48%,1.54,44%,36%,0.4
4115,Charlie Valencia,12,7,0,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",2.58,37%,2.61,77%,1.40,53%,75%,0.5
4116,Robert Valentin,11,6,0 (1 NC),"6' 2""",185 lbs.,"77""",Orthodox,"Mar 31, 1995",1.13,56%,2.83,32%,0.00,0%,55%,1.3
4117,Victor Valenzuela,13,6,2,"5' 10""",155 lbs.,--,,--,1.28,100%,2.55,0%,0.00,0%,0%,0.0
4118,Ivan Valenzuela,8,2,0,"6' 2""",185 lbs.,"77""",Orthodox,"Nov 17, 1992",0.00,0%,9.60,33%,0.00,0%,0%,0.0
4119,Victor Valenzuela,12,4,0,"5' 9""",170 lbs.,"71""",Orthodox,"Feb 09, 1994",3.36,33%,8.40,48%,0.00,0%,0%,0.0
4120,Timur Valiev,18,3,0 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,"Jan 19, 1990",5.19,53%,3.33,45%,1.73,40%,55%,0.3
4121,Victor Valimaki,18,10,0,"6' 0""",205 lbs.,--,Orthodox,"Dec 17, 1981",3.94,30%,2.99,67%,0.90,14%,0%,0.0
4122,Andrew Valladerez,5,7,0,--,135 lbs.,--,,"Jun 28, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4123,Kevin Vallejos,17,1,0,"5' 7""",145 lbs.,"68""",Switch,"Dec 08, 2001",5.78,46%,4.71,56%,0.71,28%,83%,0.0
4124,Isaac Vallie-Flagg,16,7,1,"5' 8""",155 lbs.,"70""",Orthodox,"Apr 08, 1978",5.56,47%,5.60,45%,0.20,12%,58%,0.0
4125,Joshua Van,16,2,0,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",8.84,56%,6.39,57%,0.84,63%,81%,0.0
4126,Mike van Arsdale,8,5,0,"6' 2""",205 lbs.,--,Switch,"Jun 20, 1965",1.52,41%,1.91,41%,1.06,14%,37%,0.0
4127,Matt Van Buren,7,6,0,"6' 5""",205 lbs.,--,,"Jun 12, 1986",7.73,45%,6.82,49%,0.00,0%,50%,0.0
4128,Ron van Clief,0,1,0,"5' 10""",190 lbs.,--,Orthodox,"Jan 25, 1943",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4129,Lloyd Van Dams,0,1,0,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972",0.00,0%,3.01,15%,0.00,0%,0%,0.0
4130,Alain Van der Merckt,8,0,0,--,185 lbs.,--,,"Jun 11, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4131,Cameron VanCamp,15,7,1 (1 NC),"6' 2""",155 lbs.,"74""",Switch,"Apr 27, 1993",5.31,47%,6.41,40%,0.00,0%,0%,0.0
4132,Chad Vance,7,5,0,"6' 0""",185 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
4133,Jared Vanderaa,12,10,0,"6' 4""",265 lbs.,"80""",Orthodox,"May 12, 1992",4.96,44%,5.67,45%,0.18,50%,20%,0.0
4134,Austin Vanderford,13,3,0,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990",3.04,59%,2.71,48%,3.08,35%,100%,1.2
4135,Lando Vannata,12,7,2,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992",4.52,45%,4.76,55%,1.09,37%,69%,0.3
4136,Paige VanZant,8,5,0,"5' 4""",115 lbs.,"65""",Orthodox,"Mar 26, 1994",3.35,52%,2.62,42%,1.27,33%,34%,1.0
4137,Paul Varelans,9,9,0,"6' 8""",300 lbs.,--,Orthodox,"Sep 17, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4138,Kazula Vargas,12,5,0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 15, 1985",3.65,53%,1.77,57%,0.40,25%,30%,0.4
4139,Jamie Varner,21,11,1 (2 NC),"5' 8""",155 lbs.,"71""",Orthodox,"Oct 12, 1984",2.92,34%,2.55,58%,3.49,53%,66%,0.8
4140,Guilherme Vasconcelos,9,4,0,"6' 0""",185 lbs.,--,Orthodox,"Mar 23, 1986",3.27,29%,4.40,70%,0.00,0%,0%,0.0
4141,Linton Vassell,18,5,0 (1 NC),"6' 4""",205 lbs.,--,,"Jun 03, 1983",3.39,37%,2.13,54%,2.46,50%,50%,0.0
4142,Billy Vaughan,12,17,0,"5' 6""",155 lbs.,--,,"Dec 02, 1983",0.00,0%,1.36,50%,0.00,0%,0%,0.0
4143,Yuri Vaulin,0,1,0,"6' 4""",197 lbs.,--,Southpaw,"Sep 13, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4144,Javier Vazquez,16,5,0,"5' 7""",145 lbs.,"69""",Southpaw,"Jul 16, 1977",2.43,36%,1.99,72%,2.56,52%,57%,1.5
4145,Manny Vazquez,11,2,0,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993",1.47,41%,2.67,48%,1.00,33%,0%,1.0
4146,Gianni Vazquez,13,5,1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 17, 1994",1.60,22%,3.93,39%,0.00,0%,62%,2.0
4147,Matt Veach,17,5,0,"5' 11""",155 lbs.,--,Orthodox,"May 31, 1981",1.12,28%,4.91,44%,3.64,38%,100%,1.5
4148,Joe Vedepo,18,9,0,"6' 0""",185 lbs.,--,Orthodox,"Jan 01, 1983",1.43,42%,5.71,38%,1.07,20%,0%,0.0
4149,Kelly Velasco,2,1,0,"5' 9""",135 lbs.,--,Orthodox,"May 21, 1995",2.27,35%,5.67,47%,0.00,0%,100%,0.0
4150,Greg Velasco,6,1,0,"6' 2""",265 lbs.,"70""",Southpaw,"Sep 23, 1993",0.00,0%,1.52,0%,0.00,0%,0%,0.0
4151,Cain Velasquez,14,3,0,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982",6.37,57%,2.33,57%,5.13,45%,85%,0.4
4152,David Velasquez,10,10,0,"5' 5""",145 lbs.,--,Orthodox,"Oct 19, 1966",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4153,Bojan Velickovic,15,6,1,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988",2.18,34%,2.31,57%,0.67,25%,55%,0.5
4154,Karlos Vemola,17,5,0,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 03, 1985",1.67,44%,2.13,37%,1.93,25%,31%,1.7
4155,Luigi Vendramini,9,3,0,"5' 8""",155 lbs.,"73""",Orthodox,"Jan 16, 1996",2.82,40%,3.82,57%,1.11,15%,100%,0.6
4156,Jerrel Venetiaan,4,3,0 (1 NC),"6' 1""",195 lbs.,--,Orthodox,"Mar 09, 1971",0.81,33%,1.51,67%,0.00,0%,60%,0.0
4157,Scott Ventimiglia,14,6,1,"5' 11""",185 lbs.,--,,"Nov 17, 1972",0.00,0%,0.00,0%,0.00,0%,0%,0.0
4158,Brandon Vera,15,7,0 (1 NC),"6' 3""",230 lbs.,"78""",Orthodox,"Oct 10, 1977",3.03,56%,2.81,52%,0.70,53%,59%,0.2
